V1, V2, d, m,delta
I,J,17,y,-1
I,L,62,y,3
I,M,92,y,18
I,N,95,y,5
I,O,68,y,37
I,P,77,y,23
I,Q,81,y,19
I,R,47,y,18
I,S,59,y,6
I,T,74,y,16
I,U,98,y,2
J,K,54,y,1
J,L,53,y,2
J,M,87,y,18
J,N,90,y,10
J,O,55,y,65
J,P,64,y,56
J,Q,70,y,40
J,R,40,y,15
J,T,59,y,61
J,U,92,y,8
K,M,91,y,-1
K,N,83,y,-3
K,O,77,y,-17
K,P,71,y,-6
K,Q,71,y,-11
K,T,68,y,-3
K,U,86,y,4
L,M,85,y,5
L,N,77,y,8
L,O,63,y,-3
L,P,52,y,2
L,Q,56,y,4
L,R,21,y,-9
L,U,79,y,6
M,P,68,y,-8
M,Q,43,y,2
M,R,72,y,8
M,S,89,y,1
M,T,71,y,-11
N,O,60,y,0
N,P,68,y,-8
N,Q,41,y,3
N,R,67,y,8
N,S,81,y,4
N,T,69,y,-9
O,Q,27,y,-12
O,S,64,y,-4
O,U,59,y,1
P,R,54,y,6
P,S,55,y,-1
P,U,66,y,-11
Q,R,51,y,-6
Q,S,58,y,-4
Q,T,29,y,-14
R,S,20,y,-5
R,T,50,y,10
R,U,69,y,11
S,T,50,y,3
S,U,84,y,1
T,U,68,y,-13
A,B,23,y,
A,C,75,y,
A,D,86,y
A,E,29,y
A,F,57,y
A,G,46,y
A,H,103,y
A,I,88,y
A,J,95,y
A,K,76,y
A,L,90,y
A,M,80,y
A,N,75,y
A,O,110,y
A,P,119,y
A,Q,100,y
A,R,78,y
A,S,93,y
A,T,117,y,
A,U,80,y,
B,C,54,y,
B,D,66,y,-6
B,E,21,y,9
B,F,54,y,3
B,G,38,y+m,4
B,H,96,y,
B,I,88,y,4
B,J,91,y,-3
B,K,67,y,8
B,L,77,y,9
B,M,63,y,45
B,N,55,y,45
B,O,96,y,24
B,P,101,y,14
B,Q,80,y,
B,R,65,y,5
B,S,80,y,3
B,T,100,y,15
B,U,61,y,39
C,D,20,y,
C,E,55,y,-5
C,F,77,y,23
C,G,55,y,5
C,I,90,y,20
C,J,83,y,35
C,K,49,y,21
C,L,43,y,17
C,M,63,y,
C,N,50,y,10
C,O,72,y,8
C,P,62,y,-7
C,Q,48,y,
C,R,44,y,6
C,S,48,y,12
C,T,62,y,-4
C,U,51,y,4
D,E,63,y,
D,G,65,y,15
D,H,96,y,
D,I,86,y,24
D,J,78,y,19
D,K,38,y,32
D,L,31,y,29
D,M,79,y,
D,N,66,y,4
D,O,73,y,7
D,P,60,y,
D,Q,54,y,6
D,R,40,y,20
D,S,35,y,25
D,T,60,y,0
D,U,67,y,3
E,F,56,y,4
E,G,61,y,-3
E,H,88,y,
E,I,77,y,-8
E,J,81,y,-14
E,K,53,y,-23
E,L,68,y,-36
E,M,76,y,42
E,N,75,y,38
E,O,97,y,17
E,P,101,y,13
E,Q,85,y,27
E,R,56,y,-18
E,S,68,y,-30
E,T,98,y,16
E,U,75,y,38
F,D,85,y,
F,G,16,y+m,-8
F,I,54,y,3
F,J,59,y,4
F,K,74,y,-9
F,L,80,y,-15
F,M,52,y,
F,N,57,y,-2
F,O,68,y,32
F,P,85,y,25
F,Q,70,y,30
F,R,58,y,-8
F,S,79,y,-19
F,T,82,y,28
F,U,63,y,-8
G,H,96,y,
G,I,63,y,21
G,J,64,y,
G,K,61,y,4
G,L,66,y,-1
G,M,42,y,3
G,N,43,y+m,4
G,O,64,y,36
G,P,76,y,29
G,Q,58,y,32
G,R,48,y,-3
G,S,67,y,-7
G,T,75,y,30
G,U,46,y,-3
H,C,97,y,
H,F,61,y,
H,I,20,y,
H,J,16,y+m,-2
H,K,70,y,
H,L,71,y,
H,M,92,y,
H,N,97,y,
H,O,99,y,
H,P,78,y,
H,Q,82,y,
H,R,57,y,
H,S,68,y,
H,T,73,y
H,U,100,y
I,K,57,y
J,S,50,y
K,L,22,y
K,R,22,y
K,S,20,y
L,T,49,y
M,N,18,y
M,U,18,y
N,U,6,y
O,M,56,y
O,P,25,y
O,R,54,y
O,T,25,y
P,Q,26,y
P,T,6,y
S,L,5,y
U,Q,38,y
